date,max_temperature_f,mean_temperature_f,min_temperature_f,max_dew_point_f,mean_dew_point_f,min_dew_point_f,max_humidity,mean_humidity,min_humidity,max_sea_level_pressure_inches,mean_sea_level_pressure_inches,min_sea_level_pressure_inches,max_visibility_miles,mean_visibility_miles,min_visibility_miles,max_wind_Speed_mph,mean_wind_speed_mph,max_gust_speed_mph,precipitation_inches,cloud_cover,events,wind_dir_degrees,zip_code
9/4/2013,79.0,69.0,59.0,58.0,55.0,51.0,84.0,62.0,40.0,30.05,30.01,29.96,10.0,10.0,10.0,22.0,8.0,29.0,0,1.0,,322.0,95113
9/5/2013,78.0,68.0,58.0,56.0,54.0,52.0,80.0,60.0,40.0,30.03,30.0,29.97,10.0,10.0,10.0,23.0,8.0,30.0,0,1.0,,329.0,95113
9/6/2013,89.0,72.0,54.0,56.0,52.0,48.0,78.0,54.0,29.0,30.01,29.91,29.82,10.0,10.0,10.0,17.0,5.0,22.0,0,0.0,,302.0,95113
9/8/2013,88.0,74.0,60.0,61.0,57.0,48.0,90.0,59.0,27.0,29.88,29.83,29.75,10.0,10.0,10.0,13.0,5.0,15.0,0,0.0,,301.0,95113
9/9/2013,88.0,75.0,62.0,60.0,57.0,52.0,90.0,60.0,30.0,29.82,29.77,29.71,10.0,10.0,10.0,16.0,5.0,21.0,0,1.0,,298.0,95113
9/10/2013,82.0,70.0,58.0,60.0,55.0,53.0,87.0,65.0,42.0,29.9,29.81,29.75,10.0,10.0,10.0,16.0,7.0,24.0,0,2.0,,142.0,95113
9/11/2013,77.0,68.0,59.0,58.0,55.0,53.0,84.0,65.0,46.0,30.0,29.96,29.9,10.0,10.0,10.0,17.0,8.0,21.0,0,4.0,,12.0,95113
9/12/2013,76.0,69.0,62.0,59.0,58.0,57.0,84.0,71.0,57.0,29.98,29.95,29.9,10.0,10.0,8.0,18.0,6.0,22.0,0,5.0,,311.0,95113
9/13/2013,74.0,67.0,59.0,58.0,56.0,55.0,87.0,72.0,57.0,29.91,29.87,29.8,10.0,10.0,10.0,18.0,8.0,21.0,0,4.0,,313.0,95113
9/14/2013,72.0,66.0,59.0,56.0,55.0,54.0,87.0,72.0,57.0,29.85,29.82,29.77,10.0,10.0,10.0,14.0,8.0,18.0,0,4.0,,327.0,95113
9/15/2013,78.0,68.0,58.0,59.0,55.0,52.0,90.0,68.0,45.0,29.88,29.85,29.82,10.0,10.0,10.0,18.0,8.0,24.0,0,3.0,,317.0,95113
9/16/2013,79.0,71.0,62.0,59.0,57.0,53.0,90.0,68.0,45.0,29.91,29.87,29.81,10.0,10.0,10.0,22.0,8.0,28.0,0,4.0,,310.0,95113
9/17/2013,75.0,66.0,56.0,54.0,52.0,46.0,80.0,58.0,36.0,29.9,29.89,29.87,10.0,10.0,10.0,25.0,8.0,30.0,T,1.0,,309.0,95113
9/18/2013,83.0,69.0,55.0,53.0,49.0,43.0,83.0,54.0,24.0,29.92,29.87,29.82,10.0,10.0,10.0,20.0,6.0,23.0,0,0.0,,299.0,95113
9/19/2013,87.0,71.0,54.0,50.0,46.0,37.0,77.0,48.0,18.0,29.86,29.81,29.75,10.0,10.0,10.0,18.0,6.0,22.0,0,0.0,,294.0,95113
9/20/2013,76.0,66.0,56.0,58.0,54.0,49.0,80.0,65.0,50.0,29.88,29.84,29.79,10.0,10.0,10.0,18.0,7.0,28.0,0,2.0,,309.0,95113
9/22/2013,72.0,63.0,53.0,55.0,52.0,47.0,93.0,69.0,44.0,30.02,29.96,29.92,10.0,10.0,10.0,22.0,7.0,25.0,0,2.0,,287.0,95113
9/23/2013,80.0,67.0,54.0,61.0,54.0,51.0,86.0,63.0,39.0,30.03,29.98,29.93,10.0,10.0,10.0,20.0,6.0,25.0,0,0.0,,321.0,95113
9/24/2013,75.0,67.0,58.0,58.0,52.0,46.0,93.0,66.0,38.0,30.01,29.97,29.94,10.0,10.0,10.0,25.0,10.0,30.0,0,1.0,,301.0,95113
